System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:17:07:014, 9137291077135,    0.353,   96.000, 2400,  12.693,   4.487,   1.246,  11.043,   3.903,   1.084, 59,  0,   0.683,   0.241,   0.067,   0.019,   0.007,   0.002,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:07:123, 9137508988428,    0.463,   50.000, 2400,  11.560,   5.751,   1.598,   9.915,   4.988,   1.385, 60,  0,   0.715,   0.320,   0.089,   0.076,   0.015,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:07:233, 9137727705514,    0.573,   51.000, 2400,  12.044,   7.074,   1.965,  10.392,   6.129,   1.702, 61,  0,   0.809,   0.408,   0.113,   0.000,   0.015,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:07:342, 9137945558541,    0.682,   38.000, 2400,   9.788,   8.144,   2.262,   8.220,   7.028,   1.952, 60,  0,   0.640,   0.478,   0.133,   0.000,   0.015,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:07:452, 9138163425215,    0.791,   37.000, 2500,  10.005,   9.238,   2.566,   8.418,   7.948,   2.208, 60,  0,   0.547,   0.538,   0.150,   0.000,   0.015,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:07:561, 9138381291346,    0.901,   43.000, 2600,  10.082,  10.341,   2.873,   8.558,   8.884,   2.468, 60,  0,   0.546,   0.598,   0.166,   0.000,   0.015,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:07:952, 9139160181162,    1.292,   50.000, 2500,  12.438,  15.204,   4.223,  10.807,  13.110,   3.642, 61,  0,   0.613,   0.838,   0.233,   0.012,   0.020,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:08:061, 9139378010962,    1.401,   49.000, 2400,  12.145,  16.532,   4.592,  10.518,  14.260,   3.961, 61,  0,   0.546,   0.898,   0.249,   0.000,   0.020,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:08:171, 9139595901418,    1.510,   50.000, 2400,  11.271,  17.765,   4.935,   9.767,  15.328,   4.258, 59,  0,   0.556,   0.958,   0.266,   0.000,   0.020,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:08:280, 9139813804709,    1.620,   51.000, 2400,  11.514,  19.025,   5.285,   9.922,  16.414,   4.559, 61,  0,   0.652,   1.030,   0.286,   0.038,   0.024,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:08:390, 9140032429905,    1.730,   49.000, 2400,  11.917,  20.332,   5.648,  10.343,  17.549,   4.875, 59,  0,   0.547,   1.090,   0.303,   0.000,   0.024,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:08:500, 9140251131709,    1.839,   50.000, 2400,  11.718,  21.619,   6.005,  10.146,  18.663,   5.184, 60,  0,   0.554,   1.151,   0.320,   0.000,   0.024,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:08:609, 9140469043014,    1.949,   49.000, 2400,  11.504,  22.877,   6.355,   9.999,  19.757,   5.488, 59,  0,   0.546,   1.210,   0.336,   0.000,   0.024,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:08:719, 9140686900550,    2.058,   53.000, 2400,  11.462,  24.131,   6.703,   9.793,  20.828,   5.785, 61,  0,   0.680,   1.285,   0.357,   0.000,   0.024,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:08:828, 9140904796877,    2.168,   50.000, 2400,  11.641,  25.404,   7.057,  10.093,  21.932,   6.092, 62,  0,   0.610,   1.352,   0.375,   0.022,   0.026,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:08:937, 9141122607852,    2.277,   49.000, 2400,  11.751,  26.689,   7.414,  10.236,  23.051,   6.403, 59,  0,   0.557,   1.412,   0.392,   0.000,   0.026,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:09:047, 9141340476991,    2.386,   49.000, 2400,  11.426,  27.939,   7.761,   9.807,  24.124,   6.701, 59,  0,   0.545,   1.472,   0.409,   0.000,   0.026,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:09:156, 9141558424648,    2.496,   50.000, 2300,  11.901,  29.241,   8.122,  10.334,  25.254,   7.015, 59,  0,   0.544,   1.531,   0.425,   0.000,   0.026,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:09:265, 9141776234588,    2.605,   50.000, 2400,  10.445,  30.383,   8.440,   8.888,  26.226,   7.285, 58,  0,   0.567,   1.593,   0.443,   0.000,   0.026,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:09:375, 9141994118397,    2.714,   50.000, 2400,  12.171,  31.714,   8.810,  10.476,  27.372,   7.603, 59,  0,   0.596,   1.659,   0.461,   0.022,   0.029,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:09:484, 9142212034348,    2.824,   49.000, 2300,  11.601,  32.983,   9.162,  10.099,  28.477,   7.910, 59,  0,   0.540,   1.718,   0.477,   0.000,   0.029,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:09:594, 9142430641374,    2.934,   50.000, 2300,  11.131,  34.205,   9.501,   9.588,  29.529,   8.202, 59,  0,   0.546,   1.778,   0.494,   0.000,   0.029,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:09:703, 9142648528044,    3.043,   50.000, 2300,  11.064,  35.415,   9.838,   9.551,  30.574,   8.493, 59,  0,   0.556,   1.838,   0.511,   0.000,   0.029,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:09:813, 9142866475185,    3.152,   51.000, 2400,  11.626,  36.687,  10.191,  10.024,  31.670,   8.797, 60,  0,   0.587,   1.903,   0.528,   0.000,   0.029,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:09:922, 9143084277658,    3.262,   50.000, 2300,  11.955,  37.994,  10.554,  10.412,  32.809,   9.114, 60,  0,   0.591,   1.967,   0.546,   0.022,   0.031,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:10:031, 9143302209546,    3.371,   50.000, 2300,  11.090,  39.208,  10.891,   9.499,  33.848,   9.402, 60,  0,   0.556,   2.028,   0.563,   0.000,   0.031,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:10:141, 9143520088073,    3.480,   51.000, 2400,  10.712,  40.379,  11.216,   9.196,  34.854,   9.682, 60,  0,   0.602,   2.094,   0.582,   0.000,   0.031,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:10:250, 9143737909474,    3.590,   50.000, 2400,  11.741,  41.663,  11.573,  10.207,  35.970,   9.992, 60,  0,   0.609,   2.160,   0.600,   0.000,   0.031,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:10:360, 9143955833897,    3.699,   50.000, 2400,  11.849,  42.959,  11.933,  10.116,  37.077,  10.299, 61,  0,   0.660,   2.233,   0.620,   0.000,   0.031,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:10:672, 9144578327455,    4.012,   51.000, 2400,  11.303,  46.492,  12.914,   9.717,  40.113,  11.143, 59,  0,   0.598,   2.419,   0.672,   0.008,   0.034,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:10:781, 9144796181378,    4.121,   50.000, 2400,  11.038,  47.699,  13.250,   9.505,  41.153,  11.431, 61,  0,   0.571,   2.482,   0.689,   0.000,   0.034,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:10:891, 9145014065582,    4.230,   50.000, 2400,  11.683,  48.977,  13.605,  10.052,  42.252,  11.737, 59,  0,   0.586,   2.546,   0.707,   0.000,   0.034,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:11:000, 9145231911883,    4.340,   50.000, 2400,  11.384,  50.222,  13.950,   9.829,  43.327,  12.035, 59,  0,   0.604,   2.612,   0.726,   0.022,   0.036,   0.010,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:11:110, 9145449846347,    4.449,   49.000, 2400,  11.126,  51.439,  14.289,   9.506,  44.367,  12.324, 60,  0,   0.565,   2.674,   0.743,   0.000,   0.036,   0.010,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:11:219, 9145667713237,    4.559,   50.000, 2400,  11.144,  52.658,  14.627,   9.617,  45.419,  12.616, 61,  0,   0.578,   2.737,   0.760,   0.000,   0.036,   0.010,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:11:328, 9145885552541,    4.668,   50.000, 2400,  10.975,  53.858,  14.961,   9.379,  46.445,  12.901, 59,  0,   0.580,   2.801,   0.778,   0.000,   0.036,   0.010,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:11:438, 9146104246954,    4.778,   50.000, 2400,  11.417,  55.112,  15.309,   9.752,  47.515,  13.199, 59,  0,   0.591,   2.866,   0.796,   0.000,   0.036,   0.010,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:11:547, 9146322097778,    4.887,   50.000, 2400,  11.605,  56.381,  15.661,   9.927,  48.601,  13.500, 59,  0,   0.627,   2.934,   0.815,   0.025,   0.039,   0.011,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:17:11:657, 9146539962098,    4.996,   49.000, 2400,  11.511,  57.640,  16.011,  10.000,  49.695,  13.804, 59,  0,   0.561,   2.995,   0.832,   0.000,   0.039,   0.011,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
