System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:44:06:854, 12364026073189,    0.107,    1.000,  800,   2.732,   0.293,   0.082,   1.171,   0.126,   0.035, 42,  0,   0.690,   0.074,   0.021,   0.137,   0.015,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:44:06:854, 12364029183164,    0.109,   15.000,  800,   1.642,   0.296,   0.082,   0.899,   0.127,   0.035, 42,  0,   0.508,   0.075,   0.021,   0.000,   0.015,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000

Total Elapsed Time (sec) = 0.108980
Measured RDTSC Frequency (GHz) = 1.992

Cumulative Processor Energy_0 (Joules) = 0.296021
Cumulative Processor Energy_0 (mWh) = 0.082228
Average Processor Power_0 (Watt) = 2.716294

Cumulative IA Energy_0 (Joules) = 0.127197
Cumulative IA Energy_0 (mWh) = 0.035333
Average IA Power_0 (Watt) = 1.167166

Cumulative DRAM Energy_0 (Joules) = 0.074951
Cumulative DRAM Energy_0 (mWh) = 0.020820
Average DRAM Power_0 (Watt) = 0.687754

Cumulative GT Energy_0 (Joules) = 0.014709
Cumulative GT Energy_0 (mWh) = 0.004086
Average GT Power_0 (Watt) = 0.134975
