System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:53:30:052, 17360078429361,    0.111,   42.000, 3300,  24.711,   2.744,   0.762,  23.090,   2.564,   0.712, 55,  0,   0.653,   0.073,   0.020,   0.118,   0.013,   0.004, 115.000, 130.000,   0.000,  65.000,  81.250,   14,   0.416
11:53:30:172, 17360461112281,    0.231,   35.000, 3400,  24.117,   5.635,   1.565,  22.501,   5.261,   1.462, 55,  0,   0.534,   0.136,   0.038,   0.027,   0.016,   0.005, 115.000, 130.000,   0.000,  65.000,  81.250,    2,   0.000
11:53:30:322, 17360939776389,    0.381,   40.000, 3400,  21.583,   8.872,   2.464,  19.929,   8.250,   2.292, 49,  0,   0.857,   0.265,   0.074,   0.060,   0.025,   0.007, 115.000, 130.000,   0.000,  65.000,  81.250,    2,   0.060
11:53:30:452, 17361354417947,    0.511,   53.000, 3400,  22.497,  11.794,   3.276,  20.905,  10.966,   3.046, 52,  0,   1.006,   0.396,   0.110,   0.025,   0.029,   0.008, 115.000, 130.000,   0.000,  65.000,  81.250,    3,   0.000
11:53:30:562, 17361705395229,    0.621,   73.000, 3300,  29.519,  15.040,   4.178,  27.836,  14.026,   3.896, 53,  0,   1.309,   0.540,   0.150,   0.024,   0.031,   0.009, 115.000, 130.000,   0.000,  65.000,  81.250,    0,   0.000
11:53:30:702, 17362152065958,    0.761,   52.000, 3300,  24.461,  18.463,   5.129,  22.776,  17.213,   4.781, 48,  0,   1.274,   0.718,   0.199,   0.018,   0.034,   0.009, 115.000, 130.000,   0.000,  65.000,  81.250,    1,   0.000
11:53:30:862, 17362662493068,    0.921,   60.000, 3300,  25.660,  22.566,   6.268,  24.008,  21.052,   5.848, 48,  0,   1.165,   0.904,   0.251,   0.020,   0.037,   0.010, 115.000, 130.000,   0.000,  65.000,  81.250,    0,   0.000
11:53:31:042, 17363236813785,    1.101,   52.000, 3300,  23.862,  26.859,   7.461,  22.210,  25.049,   6.958, 48,  0,   1.109,   1.104,   0.307,   0.048,   0.046,   0.013, 115.000, 130.000,   0.000,  65.000,  81.250,    1,   0.046
11:53:31:172, 17363651607716,    1.230,   59.000, 3300,  24.420,  30.033,   8.342,  22.953,  28.031,   7.787, 49,  0,   1.262,   1.268,   0.352,   0.026,   0.049,   0.014, 115.000, 130.000,   0.000,  65.000,  81.250,    1,   0.000
11:53:31:292, 17364034344531,    1.350,   43.000, 3300,  23.455,  32.845,   9.124,  21.695,  30.633,   8.509, 48,  0,   1.178,   1.409,   0.391,   0.025,   0.052,   0.014, 115.000, 130.000,   0.000,  65.000,  81.250,    1,   0.000
