System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:41:41:283, 12074051983983,    0.118,   68.000, 4100,  26.964,   3.184,   0.884,  25.257,   2.982,   0.828, 69,  0,   0.770,   0.091,   0.025,   0.142,   0.017,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:41:41:597, 12074672663605,    0.430,  102.000, 4100,  31.553,  13.015,   3.615,  30.078,  12.354,   3.432, 79,  0,   0.537,   0.258,   0.072,   0.000,   0.017,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:41:41:880, 12075235237156,    0.712,  100.000, 4100,  32.193,  22.107,   6.141,  30.533,  20.977,   5.827, 82,  0,   0.565,   0.418,   0.116,   0.014,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:41:42:162, 12075806962755,    0.999,  109.000, 4100,  32.648,  31.477,   8.744,  31.129,  29.911,   8.309, 83,  0,   0.541,   0.573,   0.159,   0.000,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:41:42:429, 12076328601517,    1.261,   93.000, 4100,  32.794,  40.065,  11.129,  31.189,  38.079,  10.577, 84,  0,   0.556,   0.718,   0.200,   0.015,   0.025,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:41:42:790, 12077048470486,    1.622,   85.000, 4100,  32.834,  51.930,  14.425,  31.333,  49.402,  13.723, 86,  0,   0.543,   0.915,   0.254,   0.000,   0.025,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:41:43:104, 12077683977881,    1.941,  118.000, 4100,  36.065,  63.436,  17.621,  34.537,  60.420,  16.783, 88,  0,   0.563,   1.094,   0.304,   0.009,   0.028,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:41:43:371, 12078214229277,    2.208,   94.000, 3400,  36.189,  73.069,  20.297,  34.648,  69.643,  19.345, 91,  0,   0.601,   1.254,   0.348,   0.000,   0.028,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:41:43:653, 12078767458332,    2.485,  108.000, 4100,  36.155,  83.110,  23.086,  34.590,  79.250,  22.014, 90,  0,   0.562,   1.411,   0.392,   0.010,   0.030,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:41:43:936, 12079330908334,    2.768,   86.000, 4100,  35.318,  93.100,  25.861,  33.748,  88.795,  24.665, 90,  0,   0.624,   1.587,   0.441,   0.000,   0.030,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:41:44:249, 12079954812641,    3.081,  159.000, 3600,  34.530, 103.915,  28.865,  32.915,  99.105,  27.529, 87,  0,   0.736,   1.818,   0.505,   0.009,   0.033,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:41:44:375, 12080205386545,    3.207,    7.000, 1000,   5.883, 104.655,  29.071,   4.009,  99.609,  27.669, 60,  0,   0.748,   1.912,   0.531,   0.114,   0.047,   0.013,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:41:44:375, 12080209754105,    3.209,   15.000, 1000,   1.642, 104.659,  29.072,   1.336,  99.612,  27.670, 60,  0,   0.501,   1.913,   0.531,   0.000,   0.047,   0.013,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000

Total Elapsed Time (sec) = 3.209316
Measured RDTSC Frequency (GHz) = 1.992

Cumulative Processor Energy_0 (Joules) = 104.658508
Cumulative Processor Energy_0 (mWh) = 29.071808
Average Processor Power_0 (Watt) = 32.610843

Cumulative IA Energy_0 (Joules) = 99.611755
Cumulative IA Energy_0 (mWh) = 27.669932
Average IA Power_0 (Watt) = 31.038311

Cumulative DRAM Energy_0 (Joules) = 1.912781
Cumulative DRAM Energy_0 (mWh) = 0.531328
Average DRAM Power_0 (Watt) = 0.596009

Cumulative GT Energy_0 (Joules) = 0.047424
Cumulative GT Energy_0 (mWh) = 0.013173
Average GT Power_0 (Watt) = 0.014777
