System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:42:08:240, 12127754294115,    0.107,   73.000, 4100,  26.477,   2.839,   0.788,  24.812,   2.660,   0.739, 73,  0,   0.828,   0.089,   0.025,   0.186,   0.020,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:42:08:491, 12128252383289,    0.357,   80.000, 4100,  32.197,  10.889,   3.025,  30.670,  10.329,   2.869, 84,  0,   0.529,   0.221,   0.061,   0.000,   0.020,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:42:08:868, 12128996769722,    0.731,   96.000, 4100,  33.322,  23.341,   6.484,  31.709,  22.178,   6.161, 89,  0,   0.544,   0.425,   0.118,   0.010,   0.024,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:42:09:260, 12129778483760,    1.123,  118.000, 3600,  32.681,  36.166,  10.046,  31.082,  34.375,   9.549, 88,  0,   0.545,   0.638,   0.177,   0.000,   0.024,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:42:09:589, 12130432858723,    1.452,  102.000, 4100,  32.010,  46.682,  12.967,  30.423,  44.369,  12.325, 89,  0,   0.729,   0.878,   0.244,   0.013,   0.028,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:42:09:824, 12130901396788,    1.687,   88.000, 4100,  33.414,  54.541,  15.150,  31.884,  51.869,  14.408, 90,  0,   0.563,   1.010,   0.281,   0.000,   0.028,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:42:10:185, 12131649479423,    2.063,   98.000, 4000,  35.270,  67.786,  18.830,  33.662,  64.510,  17.919, 93,  0,   0.549,   1.216,   0.338,   0.008,   0.031,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:42:10:531, 12132308246991,    2.393,  101.000, 4000,  35.506,  79.529,  22.091,  33.907,  75.723,  21.034, 93,  0,   0.544,   1.396,   0.388,   0.009,   0.034,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:42:10:845, 12132933973385,    2.707,  101.000, 3200,  28.595,  88.511,  24.586,  27.046,  84.219,  23.394, 79,  0,   0.533,   1.564,   0.434,   0.000,   0.034,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:42:11:158, 12133558887573,    3.021,   96.000, 2800,  17.849,  94.110,  26.142,  16.318,  89.338,  24.816, 69,  0,   0.542,   1.734,   0.482,   0.007,   0.036,   0.010,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:42:11:519, 12134277520552,    3.382,   98.000,  900,  12.192,  98.509,  27.364,  10.540,  93.141,  25.872, 57,  0,   0.582,   1.944,   0.540,   0.044,   0.052,   0.015,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:42:11:519, 12134281871786,    3.384,   19.000,  900,   3.269,  98.516,  27.366,   1.313,  93.144,  25.873, 57,  0,   0.782,   1.945,   0.540,   0.000,   0.052,   0.015,  15.000,  40.000,  71.000,  15.000,  40.000,  500,   0.000

Total Elapsed Time (sec) = 3.384094
Measured RDTSC Frequency (GHz) = 1.992

Cumulative Processor Energy_0 (Joules) = 98.515869
Cumulative Processor Energy_0 (mWh) = 27.365519
Average Processor Power_0 (Watt) = 29.111445

Cumulative IA Energy_0 (Joules) = 93.143677
Cumulative IA Energy_0 (mWh) = 25.873244
Average IA Power_0 (Watt) = 27.523962

Cumulative DRAM Energy_0 (Joules) = 1.945435
Cumulative DRAM Energy_0 (mWh) = 0.540398
Average DRAM Power_0 (Watt) = 0.574876

Cumulative GT Energy_0 (Joules) = 0.052307
Cumulative GT Energy_0 (mWh) = 0.014530
Average GT Power_0 (Watt) = 0.015457
