System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:18:48:840, 9340129134823,    0.109,   42.000, 2700,  15.132,   1.646,   0.457,  13.321,   1.449,   0.402, 63,  0,   0.792,   0.086,   0.024,   0.062,   0.007,   0.002,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:18:49:308, 9341062864326,    0.577,   83.000, 2600,  13.377,   7.916,   2.199,  11.794,   6.977,   1.938, 62,  0,   0.601,   0.368,   0.102,   0.008,   0.010,   0.003,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:18:49:418, 9341280730623,    0.687,   49.000, 2600,  13.165,   9.355,   2.599,  11.647,   8.250,   2.292, 62,  0,   0.572,   0.430,   0.120,   0.000,   0.010,   0.003,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:18:49:527, 9341498674777,    0.796,   50.000, 2600,  13.716,  10.856,   3.016,  11.996,   9.563,   2.656, 63,  0,   0.695,   0.506,   0.141,   0.035,   0.014,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:18:49:637, 9341716482243,    0.906,   50.000, 2600,  13.322,  12.313,   3.420,  11.806,  10.854,   3.015, 62,  0,   0.576,   0.569,   0.158,   0.000,   0.014,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:18:49:746, 9341934382674,    1.015,   50.000, 2600,  13.538,  13.794,   3.832,  12.011,  12.168,   3.380, 62,  0,   0.586,   0.633,   0.176,   0.000,   0.014,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:18:49:855, 9342152278648,    1.124,   50.000, 2500,  13.284,  15.247,   4.235,  11.635,  13.440,   3.733, 62,  0,   0.600,   0.699,   0.194,   0.000,   0.014,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:18:49:965, 9342370167442,    1.234,   49.000, 2500,  12.181,  16.579,   4.605,  10.669,  14.607,   4.058, 61,  0,   0.570,   0.762,   0.212,   0.000,   0.014,   0.004,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:18:50:074, 9342588003899,    1.343,   50.000, 2500,  12.716,  17.970,   4.992,  11.032,  15.814,   4.393, 61,  0,   0.629,   0.830,   0.231,   0.021,   0.016,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:18:50:183, 9342805910575,    1.453,   49.000, 2600,  13.577,  19.455,   5.404,  11.980,  17.124,   4.757, 62,  0,   0.584,   0.894,   0.248,   0.000,   0.016,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:18:50:293, 9343023749908,    1.562,   51.000, 2500,  13.045,  20.881,   5.800,  11.504,  18.382,   5.106, 62,  0,   0.602,   0.960,   0.267,   0.000,   0.016,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:18:50:402, 9343241625428,    1.671,   49.000, 2500,  12.549,  22.254,   6.182,  10.916,  19.576,   5.438, 62,  0,   0.583,   1.024,   0.284,   0.000,   0.016,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:18:50:512, 9343459541845,    1.781,   50.000, 2600,  12.965,  23.672,   6.576,  11.445,  20.828,   5.786, 62,  0,   0.569,   1.086,   0.302,   0.000,   0.016,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:18:50:824, 9344082012210,    2.093,   50.000, 2500,  12.760,  27.660,   7.683,  11.160,  24.316,   6.754, 63,  0,   0.598,   1.273,   0.354,   0.008,   0.019,   0.005,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
