System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:09:51:215, 8269176253613,    0.103,   14.000, 3500,  15.501,   1.595,   0.443,  13.481,   1.387,   0.385, 74,  0,   0.899,   0.092,   0.026,   0.201,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   7.652
16:09:51:342, 8269429786790,    0.230,   12.000, 4100,  14.918,   3.493,   0.970,  13.389,   3.091,   0.859, 81,  0,   0.564,   0.164,   0.046,   0.006,   0.021,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:09:51:499, 8269741777031,    0.387,   12.000, 3600,  14.773,   5.807,   1.613,  13.193,   5.157,   1.433, 82,  0,   0.532,   0.247,   0.069,   0.004,   0.022,   0.006,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:09:51:657, 8270056624838,    0.545,   13.000, 3400,  15.270,   8.220,   2.283,  13.676,   7.319,   2.033, 80,  0,   0.638,   0.348,   0.097,   0.031,   0.027,   0.007,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.545
16:09:51:816, 8270374692519,    0.704,   12.000, 3600,  15.335,  10.669,   2.964,  13.726,   9.510,   2.642, 84,  0,   0.529,   0.433,   0.120,   0.003,   0.027,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:09:51:975, 8270689881887,    0.863,   12.000, 4100,  15.375,  13.102,   3.639,  13.864,  11.704,   3.251, 84,  0,   0.528,   0.516,   0.143,   0.005,   0.028,   0.008,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:09:52:145, 8271028829612,    1.033,   12.000, 3400,  15.471,  15.734,   4.371,  13.930,  14.074,   3.910, 83,  0,   0.566,   0.613,   0.170,   0.025,   0.032,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.340
16:09:52:305, 8271346863953,    1.193,   12.000, 3600,  15.453,  18.201,   5.056,  13.886,  16.291,   4.525, 85,  0,   0.540,   0.699,   0.194,   0.004,   0.033,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:09:52:464, 8271663832973,    1.352,   12.000, 3600,  15.477,  20.664,   5.740,  13.971,  18.514,   5.143, 84,  0,   0.533,   0.784,   0.218,   0.004,   0.034,   0.009,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
16:09:52:621, 8271977841357,    1.509,   12.000, 4100,  15.491,  23.106,   6.418,  14.021,  20.725,   5.757, 85,  0,   0.546,   0.870,   0.242,   0.004,   0.034,   0.010,  15.000,  40.000,  71.000,  15.000,  40.000,    0,   0.000
